,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
39,EBAY,eBay Inc.,United States,Consumer Cyclical,13300.0,42561413120.0,0.856,0.44845
40,ORLY,"O'Reilly Automotive, Inc.",United States,Consumer Cyclical,72877.0,39999270912.0,0.503,0.14446001
41,YUM,"Yum! Brands, Inc.",United States,Consumer Cyclical,34000.0,39494090752.0,-0.28700000000000003,0.18784
42,F,Ford Motor Company,United States,Consumer Cyclical,190000.0,167573323776.0,6.547,-0.016280001000000002
43,APTV,Aptiv PLC,Ireland,Consumer Cyclical,141000.0,29209077760.0,,0.13629000000000002
44,AZO,"AutoZone, Inc.",United States,Consumer Cyclical,,34133762048.0,0.31,0.13719
45,MAR,"Marriott International, Inc.",United States,Consumer Cyclical,174000.0,41967263744.0,,0.11991999
46,BBY,"Best Buy Co., Inc.",United States,Consumer Cyclical,125000.0,29418078208.0,0.8150000000000001,0.03751
47,HLT,Hilton Worldwide Holdings Inc.,United States,Consumer Cyclical,173000.0,32761792512.0,,0.01863
48,DHI,"D.R. Horton, Inc.",United States,Consumer Cyclical,8916.0,31039735808.0,0.328,0.10818000000000001
49,VFC,V.F. Corporation,United States,Consumer Cyclical,48000.0,33401450496.0,,0.03622
50,LEN,Lennar Corporation,United States,Consumer Cyclical,10106.0,32737708032.0,0.298,0.09970000400000001
51,DLTR,"Dollar Tree, Inc.",United States,Consumer Defensive,56900.0,31449884672.0,0.45,0.036059998
52,ETSY,"Etsy, Inc.",United States,Consumer Cyclical,1292.0,35775557632.0,4.291,0.13784000000000002
53,TSCO,Tractor Supply Company,United States,Consumer Cyclical,38000.0,19807498240.0,0.545,0.07397000000000001
54,DPZ,"Domino's Pizza, Inc.",United States,Consumer Cyclical,13100.0,19846066176.0,0.148,0.11984000000000002
55,KMX,"CarMax, Inc.",United States,Consumer Cyclical,25000.0,30399596544.0,0.27,0.035410000000000004
56,LVS,Las Vegas Sands Corp.,United States,Consumer Cyclical,50000.0,46549479424.0,,0.039470002000000004
57,NVR,"NVR, Inc.",United States,Consumer Cyclical,5700.0,15753773056.0,-0.219,0.11486
58,GPC,Genuine Parts Company,United States,Consumer Cyclical,55000.0,17622591488.0,,-0.010299999
59,GRMN,Garmin Ltd.,Switzerland,Technology,15000.0,17262440448.0,-0.177,0.24824000000000002
60,DRI,"Darden Restaurants, Inc.",United States,Consumer Cyclical,177895.0,18132418560.0,-0.788,-0.02596
61,ULTA,"Ulta Beauty, Inc.",United States,Consumer Cyclical,18000.0,15064092672.0,-0.9500000000000001,0.04413
62,EXPE,"Expedia Group, Inc.",United States,Consumer Cyclical,25400.0,20161347584.0,,-0.17093000000000003
63,PHM,"PulteGroup, Inc.",United States,Consumer Cyclical,5245.0,14564129792.0,0.446,0.10938
64,TIF,Tiffany & Co.,United States,Consumer Cyclical,14100.0,16450143232.0,-0.766,0.06718
65,WHR,Whirlpool Corporation,United States,Consumer Cyclical,77000.0,18581352448.0,-0.47800000000000004,0.044210000000000006
66,RCL,Royal Caribbean Group,United States,Consumer Cyclical,85300.0,28788711424.0,,-0.24358000000000002
67,AAP,"Advance Auto Parts, Inc.",United States,Consumer Cyclical,39000.0,13389583360.0,0.522,0.047080003
