Date,SAP.DE,BAYN.DE,SIE.DE,ALV.DE,BAS.DE,DTE.DE,VOW3.DE,DAI.DE,BMW.DE,ADS.DE,HEN3.DE,DPW.DE,FRE.DE,CON.DE,LIN.DE,FME.DE,MUV2.DE,BEI.DE,WDI.DE,IFX.DE,DB1.DE,VNA.DE,DBK.DE,EOAN.DE,RWE.DE,HEI.DE,TKA.DE,MRK.DE,LHA.DE,DWNI.DE,MTX.DE,1COV.DE
2020-01-02,118.47149658203125,70.25347900390625,114.5712661743164,208.326904296875,59.58525848388672,13.335514068603516,174.11549377441406,47.046146392822266,70.27883911132812,285.8011169433594,87.08597564697266,31.743335723876953,48.02219009399414,106.5630874633789,187.16517639160156,63.69404602050781,254.09292602539062,104.87250518798828,112.4000015258789,20.42792320251465,138.47109985351562,45.49919509887695,7.3470001220703125,9.157045364379883,24.820716857910156,61.2866325378418,12.260000228881836,103.39508056640625,16.68000030517578,35.75080108642578,251.19595336914062,37.5676155090332
2020-01-03,116.97602844238281,69.3552474975586,112.36946105957031,206.02261352539062,58.69527053833008,13.339164733886719,170.39202880859375,46.19418716430664,69.42662811279297,286.1932678222656,87.14329528808594,31.294288635253906,47.80133056640625,104.34760284423828,182.48727416992188,63.365135192871094,250.93948364257812,104.87250518798828,112.9000015258789,20.1365909576416,136.7543182373047,45.6683349609375,7.25,9.072098731994629,24.710241317749023,59.657569885253906,12.210000038146973,104.61436462402344,15.59000015258789,36.171512603759766,250.9039306640625,37.318233489990234
2020-01-06,116.10205841064453,68.55256652832031,111.84797668457031,204.75289916992188,57.82273483276367,13.306304931640625,170.37274169921875,45.94472122192383,69.17096710205078,283.9385986328125,87.39167785644531,31.13226318359375,47.402828216552734,103.15745544433594,180.81307983398438,62.90077590942383,251.0350341796875,105.21993255615234,111.8499984741211,19.795879364013672,135.72425842285156,45.52738571166992,7.184999942779541,9.036784172058105,24.35118865966797,59.526493072509766,12.039999961853027,105.7361068725586,15.34000015258789,35.94647979736328,251.09861755371094,35.52802658081055
2020-01-07,116.62644958496094,68.92523956298828,112.5625991821289,205.22315979003906,57.848915100097656,13.331863403320312,169.83255004882812,46.31186294555664,70.27883911132812,288.93804931640625,87.4872055053711,31.4053897857666,47.508453369140625,105.3912582397461,182.48727416992188,62.97816467285156,252.75509643554688,104.97177124023438,111.8499984741211,20.778512954711914,136.50904846191406,45.77170181274414,7.434000015258789,8.971880912780762,24.90357780456543,61.00576400756836,12.069999694824219,106.80907440185547,15.364999771118164,35.93669509887695,255.2835693359375,35.741783142089844
2020-01-08,117.32562255859375,70.712158203125,113.02613830566406,205.3172149658203,57.3515739440918,13.278923034667969,170.565673828125,46.57074737548828,70.45874786376953,296.8783264160156,87.64005279541016,31.738704681396484,47.6476936340332,107.42363739013672,183.0289306640625,63.09426498413086,253.23289489746094,105.41845703125,111.75,21.045156478881836,139.55023193359375,46.01601791381836,7.684999942779541,9.001468658447266,25.014055252075195,61.567508697509766,12.100000381469727,108.5648422241211,15.539999961853027,35.41814422607422,255.96485900878906,36.365238189697266
2020-01-09,119.59794616699219,71.4001693725586,114.3395004272461,207.57447814941406,57.85763931274414,13.554577827453613,175.29234313964844,46.768436431884766,70.4113998413086,303.8873291015625,88.8819580078125,32.058128356933594,48.31986618041992,109.96870422363281,185.58946228027344,64.23580169677734,256.76861572265625,106.36146545410156,110.55000305175781,21.36117935180664,141.36512756347656,46.13817596435547,7.716000080108643,9.028193473815918,25.31787109375,61.23046112060547,12.149999618530273,109.78412628173828,16.15999984741211,35.03656768798828,263.069580078125,36.66805648803711
2020-01-10,120.18058776855469,72.01173400878906,112.02180480957031,207.1512451171875,57.43882369995117,13.474254608154297,178.95794677734375,46.53308868408203,70.6102523803711,302.9560546875,89.43603515625,31.525753021240234,48.079803466796875,108.943359375,186.131103515625,64.1003646850586,255.90855407714844,106.90741729736328,110.9000015258789,21.153789520263672,141.41415405273438,45.98782730102539,7.695000171661377,9.229583740234375,26.938213348388672,59.975887298583984,11.869999885559082,110.90585327148438,15.8149995803833,35.44749450683594,261.60968017578125,36.196014404296875
2020-01-13,120.18058776855469,71.40972900390625,111.7900390625,206.58692932128906,57.40392303466797,13.373849868774414,178.72642517089844,46.02944564819336,69.72016143798828,303.0540771484375,88.86284637451172,31.2248477935791,47.59968185424805,106.10533905029297,186.82049560546875,64.1390609741211,255.7174530029297,106.51036834716797,113.5999984741211,21.3858699798584,140.53125,46.24154281616211,7.579999923706055,9.268716812133789,26.993450164794922,59.9946174621582,12.145000457763672,110.61323547363281,15.5,35.584468841552734,262.7776184082031,36.258358001708984
2020-01-14,120.02522277832031,71.22816467285156,112.40808868408203,205.8345184326172,56.50521469116211,13.362896919250488,178.66854858398438,45.615234375,69.4076919555664,307.0732421875,88.95838928222656,31.599824905395508,46.221717834472656,107.67998504638672,187.60833740234375,65.04841613769531,255.62188720703125,106.21257019042969,118.9000015258789,21.074785232543945,140.6293487548828,46.30731964111328,7.752999782562256,9.311666488647461,26.864561080932617,59.2830696105957,12.005000114440918,112.27145385742188,15.329999923706055,35.662742614746094,264.14013671875,36.07132339477539
2020-01-15,119.44256591796875,71.9735107421875,111.77072143554688,204.2826385498047,56.1474723815918,13.399408340454102,176.16050720214844,44.471439361572266,68.35663604736328,309.8180236816406,89.01570129394531,31.720184326171875,46.4905891418457,107.33209228515625,186.91897583007812,65.08711242675781,255.5263214111328,106.21257019042969,121.19999694824219,20.906896591186523,141.7575225830078,46.467063903808594,7.570000171661377,9.47965145111084,27.08551788330078,58.88985061645508,11.90999984741211,113.19811248779297,15.319999694824219,35.64317321777344,269.7850341796875,35.73287582397461
