Date,399001.SZ,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^IPSA,^MERV,^TA125.TA,^CASE30,^JN0U.JO,^OMX
2019-12-31,,3230.780029296875,28538.439453125,8972.599609375,13913.0302734375,2552.56005859375,,1668.469970703125,13.779999732971191,7542.39990234375,,,,,,,,,,,,,,,,,,,,17063.400390625,,43541.01953125,,,,,,
2020-01-02,10638.8203125,3257.85009765625,28868.80078125,9092.1904296875,14002.490234375,2568.64990234375,12887.83984375,1666.77001953125,12.470000267028809,7604.2998046875,13385.9296875,6041.5,,1158.260009765625,4015.929931640625,,,28543.51953125,3085.197998046875,10638.8203125,3252.0,6690.60009765625,6810.0,41626.640625,6283.5810546875,1602.5,,2175.169921875,12100.48046875,17100.0,118573.0,44437.23046875,,41106.96875,1633.8399658203125,,3934.300048828125,1808.6300048828125
2020-01-03,10656.41015625,3234.85009765625,28634.880859375,9020.76953125,13917.0498046875,2568.10009765625,12895.009765625,1660.8699951171875,14.020000457763672,7622.39990234375,13219.1396484375,6044.16015625,3773.3701171875,1157.3800048828125,3994.610107421875,3076.3701171875,,28451.5,3083.785888671875,10656.41015625,3238.820068359375,6733.5,6855.2001953125,41464.609375,6323.4658203125,1611.3800048828125,11593.1396484375,2176.4599609375,12110.4296875,17066.099609375,117707.0,44624.8515625,,40499.1484375,,,3890.35009765625,1785.22998046875
2020-01-06,10698.26953125,3246.280029296875,28703.380859375,9071.4697265625,13941.7998046875,2585.949951171875,12821.009765625,1663.260009765625,13.850000381469727,7575.2998046875,13126.990234375,6013.58984375,3752.52001953125,1151.81005859375,3971.780029296875,3078.8701171875,23204.859375,28226.189453125,3083.407958984375,10698.26953125,3218.860107421875,6735.7001953125,6857.39990234375,40676.62890625,6257.40283203125,1597.760009765625,11600.0498046875,2155.070068359375,11953.3603515625,17105.5,116878.0,44495.30078125,,41469.66015625,1616.27001953125,,3852.25,
2020-01-07,10829.0498046875,3237.179931640625,28583.6796875,9068.580078125,13898.4501953125,2585.419921875,12827.8095703125,1658.31005859375,13.789999961853027,7573.89990234375,13226.830078125,6012.35009765625,3759.25,1153.0899658203125,3984.72998046875,,23575.720703125,28322.060546875,3104.802001953125,10829.0498046875,3247.860107421875,6826.39990234375,6943.60009765625,40869.46875,6279.34619140625,1611.0400390625,11601.669921875,2175.5400390625,11880.3203125,17168.099609375,116662.0,44157.80859375,,41115.7109375,1614.9100341796875,,3841.010009765625,1796.8499755859375
2020-01-08,10706.8701171875,3253.050048828125,28745.08984375,9129.240234375,13934.4404296875,2558.820068359375,12824.1904296875,1663.5899658203125,13.449999809265137,7574.89990234375,13320.1796875,6031.0,3772.56005859375,1155.3800048828125,3980.68994140625,3110.06005859375,23204.759765625,28087.919921875,3066.89306640625,10706.8701171875,3245.889892578125,6817.60009765625,6930.10009765625,40817.73828125,6225.68603515625,1589.0999755859375,11559.9404296875,2151.31005859375,11817.099609375,17167.80078125,116247.0,44470.91015625,,41016.01953125,1622.050048828125,,3857.219970703125,1795.4100341796875
2020-01-09,10898.169921875,3274.699951171875,28956.900390625,9203.4296875,13997.650390625,2571.280029296875,12870.75,1664.989990234375,12.539999961853027,7598.10009765625,13495.0595703125,6042.5498046875,3795.8798828125,1158.6700439453125,4013.97998046875,3118.080078125,23739.869140625,28561.0,3094.882080078125,10898.169921875,3247.47998046875,6874.2001953125,6991.39990234375,41452.3515625,6274.4931640625,1595.6500244140625,11593.349609375,2186.449951171875,11970.6298828125,17235.599609375,115947.0,44572.171875,,42035.69921875,1621.6099853515625,,3854.8798828125,1796.739990234375
2020-01-10,10879.83984375,3265.35009765625,28823.76953125,9178.8603515625,13957.9697265625,2580.9599609375,12865.7099609375,1657.6400146484375,12.5600004196167,7587.89990234375,13483.3095703125,6037.10986328125,3789.52001953125,1157.3299560546875,4009.8798828125,3123.659912109375,23850.5703125,28638.19921875,3092.291015625,10879.83984375,3255.949951171875,6929.0,7041.89990234375,41599.71875,6274.94091796875,1591.4599609375,11551.7001953125,2206.389892578125,12024.650390625,17234.5,115503.0,44660.328125,,42740.37890625,,,3870.070068359375,1784.969970703125
2020-01-13,11040.2001953125,3288.1298828125,28907.05078125,9273.9296875,14042.650390625,2576.77001953125,12892.6298828125,1669.6099853515625,12.319999694824219,7617.60009765625,13451.51953125,6036.14013671875,3779.679931640625,1155.8599853515625,3984.580078125,3151.68994140625,,28954.939453125,3115.570068359375,11040.2001953125,3251.070068359375,6903.7001953125,7020.2001953125,41859.69140625,6296.56689453125,1584.72998046875,11583.8701171875,2229.260009765625,12113.419921875,17293.400390625,117325.0,44847.46875,,42017.78125,1622.6300048828125,,3823.340087890625,1790.510009765625
2020-01-14,10988.76953125,3283.14990234375,28939.669921875,9251.330078125,14037.1298828125,2576.389892578125,12923.2197265625,1675.739990234375,12.390000343322754,7622.39990234375,13456.490234375,6040.89013671875,3774.8798828125,1157.6300048828125,3990.6298828125,3129.77001953125,24025.169921875,28885.140625,3106.820068359375,10988.76953125,3270.5400390625,6962.2001953125,7078.0,41952.62890625,6325.40576171875,1580.5999755859375,11674.1298828125,2238.8798828125,12179.8095703125,17352.900390625,117632.0,44773.23828125,,41633.73046875,1629.77001953125,,3863.669921875,1792.9000244140625
