,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
220,000860.SZ,"Beijing Shunxin Agriculture Co.,Ltd",China,Industrials,4825,45065285632,-0.109,0.04434
221,000876.SZ,"New Hope Liuhe Co., Ltd.",China,Consumer Defensive,70600,1.55858E+11,0.716,0.07265
222,000895.SZ,"Henan Shuanghui Investment & Development Co.,Ltd.",China,Consumer Defensive,,1.77264E+11,0.417,0.08528
223,000938.SZ,Unisplendour Corporation Limited,China,Technology,,73860276224,0.339,0.033099998
224,000961.SZ,"Jiangsu Zhongnan Construction Group Co., Ltd.",China,Real Estate,,92805431296,0.72,0.06266
225,000963.SZ,"Huadong Medicine Co., Ltd",China,Healthcare,12118,44222726144,-0.153,0.087069996
226,000977.SZ,"Inspur Electronic Information Industry Co., Ltd.",China,Technology,5469,46071603200,0.488,0.01757
227,001979.SZ,"China Merchants Shekou Industrial Zone Holdings Co., Ltd.",China,Real Estate,49014,3.5106E+11,-0.835,0.11441
228,002001.SZ,Zhejiang NHU Company Ltd.,China,Healthcare,,63965863936,1.032,0.35659
229,002007.SZ,Hualan Biological Engineering Inc.,China,Healthcare,2417,1.05748E+11,0.069,0.34969002
230,002008.SZ,"Han's Laser Technology Industry Group Co., Ltd.",China,Industrials,13005,37739749376,1.359,0.08871
231,002024.SZ,"Suning.com Co., Ltd.",China,Consumer Cyclical,42196,86325157888,-0.808,0.03154
232,002027.SZ,"Focus Media Information Technology Co., Ltd.",China,Communication Services,11005,1.25747E+11,0.795,0.17413999
233,002032.SZ,"Zhejiang Supor Co., Ltd.",China,Consumer Cyclical,12000,59054252032,0.113,0.09603
234,002044.SZ,"Meinian Onehealth Healthcare Holdings Co., Ltd.",China,Healthcare,,61910724608,,-0.24867001
235,002050.SZ,"Zhejiang Sanhua Intelligent Controls Co.,Ltd",China,Industrials,10635,84093378560,-0.005,0.12731
236,002120.SZ,"YUNDA Holding Co., Ltd.",China,Industrials,8328,53261160448,-0.524,0.06126
237,002129.SZ,"Tianjin Zhonghuan Semiconductor Co., Ltd.",China,Technology,9395,96606355456,0.081,0.05627
238,002142.SZ,"Bank of Ningbo Co., Ltd.",China,Financial Services,18750,2.24506E+11,0.112,0.49348
239,002146.SZ,"RiseSun Real Estate Development Co.,Ltd",China,Real Estate,,79662448640,-0.046,0.12546
240,002153.SZ,"Beijing Shiji Information Technology Co., Ltd.",China,Technology,5000,38285549568,-0.852,0.061950002
241,002157.SZ,Jiangxi Zhengbang Technology Co.Ltd.,China,Consumer Defensive,23853,59028500480,9.851,0.14614001
242,002179.SZ,"AVIC Jonhon Optronic Technology Co., Ltd.",China,Technology,,54637854720,0.468,0.12389
243,002202.SZ,"Xinjiang Goldwind Science & Technology Co., Ltd.",China,Industrials,8961,68555055104,-0.603,0.05485
244,002230.SZ,"iFLYTEK CO.,LTD",China,Technology,10447,77689823232,3.449,0.08705
245,002236.SZ,"Zhejiang Dahua Technology Co., Ltd.",China,Industrials,13658,58695798784,1.281,0.15976
246,002241.SZ,Goertek Inc.,China,Technology,,1.36992E+11,0.518,0.041389998
247,002252.SZ,"Shanghai RAAS Blood Products Co., Ltd.",China,Healthcare,2790,59766968320,0.988,0.34331
248,002271.SZ,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",China,Industrials,8036,89261809664,0.363,0.12227
249,002304.SZ,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",China,Consumer Defensive,,2.12858E+11,-0.104,0.35035
250,002311.SZ,"Guangdong Haid Group Co., Limited",China,Consumer Defensive,20774,1.00752E+11,0.451,0.03965
251,002352.SZ,"S.F. Holding Co., Ltd.",China,Industrials,,4.00529E+11,0.554,0.04847
252,002371.SZ,"NAURA Technology Group Co., Ltd.",China,Technology,4643,84344463360,0.45,0.07958
253,002410.SZ,Glodon Company Limited,China,Technology,7115,94074839040,1.254,0.07457
254,002415.SZ,"Hangzhou Hikvision Digital Technology Co., Ltd.",China,Technology,40403,3.57243E+11,0.167,0.22104
255,002422.SZ,"Sichuan Kelun Pharmaceutical Co., Ltd.",China,Healthcare,20242,43543785472,-0.539,0.02587
256,002456.SZ,"OFILM Group Co., Ltd.",China,Technology,36434,53244964864,0.301,0.01911
257,002460.SZ,"Ganfeng Lithium Co., Ltd.",China,Basic Materials,4844,78944526336,2.454,0.04459
258,002463.SZ,"Wus Printed Circuit (Kunshan) Co., Ltd.",China,Technology,7617,32601124864,0.17,0.17388001
259,002466.SZ,Tianqi Lithium Corporation,China,Basic Materials,1851,66405208064,,-1.6642799
260,002468.SZ,"STO Express Co.,Ltd.",China,Industrials,11139,21693341696,-0.971,0.02876
261,002475.SZ,"Luxshare Precision Industry Co., Ltd.",China,Technology,137284,4.20426E+11,0.757,0.07417
262,002493.SZ,"Rongsheng Petrochemical Co., Ltd.",China,Basic Materials,13962,2.56274E+11,3.489,0.046830002
263,002508.SZ,"Hangzhou Robam Appliances Co., Ltd.",China,Consumer Cyclical,4512,27130257408,0.047,0.20576
264,002555.SZ,"Wuhu 37 Interactive Entertainment Network Technology Group Co.,Ltd.",China,Consumer Cyclical,2818,70297100288,0.678,0.18365999
265,002558.SZ,"Giant Network Group Co., Ltd.",China,Communication Services,,32744491008,-0.082,0.33845
266,002594.SZ,BYD Company Limited,China,Consumer Cyclical,229154,4.20815E+11,1.199,0.01446
267,002601.SZ,"Lomon Billions Group Co., Ltd.",China,Basic Materials,9085,60835659776,-0.394,0.21234
