,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
104,601077.SS,"Chongqing Rural Commercial Bank Co., Ltd.",Hong Kong,Financial Services,,40839286784,-0.139,0.45391998
105,601088.SS,China Shenhua Energy Company Limited,China,Energy,75412,3.18697E+11,-0.087,0.16414
106,601100.SS,"Jiangsu Hengli Hydraulic Co., Ltd.",China,Industrials,4557,99306618880,0.854,0.26517
107,601108.SS,"Caitong Securities Co.,Ltd.",China,Financial Services,2659,44936757248,0.836,0.35837
108,601111.SS,Air China Limited,China,Industrials,89109,2.57586E+11,,-0.0614
109,601117.SS,"China National Chemical Engineering Co., Ltd",China,Industrials,42681,7668902912,-0.066,0.028570002
110,601138.SS,"Foxconn Industrial Internet Co., Ltd.",China,Technology,209671,2.50202E+11,0.218,0.0438
111,601155.SS,"Seazen Holdings Co., Ltd",China,Real Estate,28058,1.23146E+11,0.229,0.12454
112,601162.SS,"Tianfeng Securities Co., Ltd.",China,Financial Services,3242,41925734400,7.176,0.13319999
113,601166.SS,"Industrial Bank Co., Ltd.",China,Financial Services,60455,7.22215E+11,-0.285,0.51822
114,601169.SS,"Bank of Beijing Co., Ltd.",China,Financial Services,14840,4.47811E+11,-0.258,0.53494
115,601186.SS,China Railway Construction Corporation Limited,China,Industrials,293884,2.76301E+11,0.175,0.02385
116,601198.SS,DONGXING SECURITIES Company Limited,China,Financial Services,2927,40852303872,0.542,0.25104
117,601211.SS,"Guotai Junan Securities Co., Ltd.",China,Financial Services,15063,15963986944,0.801,0.29573
118,601212.SS,"Baiyin Nonferrous Group Co., Ltd.",China,Basic Materials,14479,35568062464,,-0.011519999
119,601216.SS,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",China,Basic Materials,5503,62366724096,-0.016,0.18979
120,601225.SS,Shaanxi Coal Industry Company Limited,China,Energy,31259,99226968064,-0.151,0.13524
121,601229.SS,"Bank of Shanghai Co., Ltd.",China,Financial Services,12699,-39024840704,0.035,0.63631
122,601231.SS,"Universal Scientific Industrial (Shanghai) Co., Ltd.",China,Technology,18648,51406577664,0.888,0.03479
123,601236.SS,"Hongta Securities Co., Ltd.",China,Financial Services,,54545469440,2.413,0.35184
124,601238.SS,"Guangzhou Automobile Group Co., Ltd.",China,Consumer Cyclical,91835,96858693632,0.027,0.07048
125,601288.SS,Agricultural Bank of China Limited,China,Financial Services,455095,9.81658E+11,-0.258,0.41525
126,601298.SS,"Qingdao Port International Co., Ltd.",China,Industrials,8523,33270261760,-0.009,0.31014
127,601318.SS,"Ping An Insurance (Group) Company of China, Ltd.",China,Financial Services,372194,1.75509E+12,-0.183,0.09644
128,601319.SS,The People's Insurance Company (Group) of China Limited,China,Financial Services,198951,3.94786E+11,-0.186,0.03375
129,601328.SS,"Bank of Communications Co., Ltd.",China,Financial Services,89903,44210286592,-0.306,0.40006
130,601336.SS,New China Life Insurance Company Ltd.,China,Financial Services,36058,2.07022E+11,-0.501,0.061329998
131,601360.SS,360 Security Technology Inc.,China,Technology,5824,96228106240,-0.777,0.25628
132,601377.SS,"China Industrial Securities Co.,Ltd.",China,Financial Services,8311,47997612032,3.028,0.14107001
133,601390.SS,China Railway Group Limited,Hong Kong,Industrials,285405,2.8502E+11,0.216,0.027460001
134,601398.SS,Industrial and Commercial Bank of China Limited,China,Financial Services,434798,-3.65931E+11,-0.252,0.44484
135,601555.SS,"Soochow Securities Co., Ltd.",China,Financial Services,3612,26512758784,3.808,0.23552999
136,601577.SS,"Bank of Changsha Co., Ltd.",China,Financial Services,7412,64523808768,0.028,0.43893
137,601600.SS,Aluminum Corporation of China Limited,China,Basic Materials,65507,1.54092E+11,-0.981,0.001
138,601601.SS,"China Pacific Insurance (Group) Co., Ltd.",China,Financial Services,111247,3.5708E+11,-0.453,0.06503
139,601607.SS,"Shanghai Pharmaceuticals Holding Co., Ltd",China,Healthcare,47459,83262046208,0.211,0.02339
140,601618.SS,Metallurgical Corporation of China Ltd.,China,Industrials,96884,1.2322E+11,0.223,0.01953
141,601628.SS,China Life Insurance Company Limited,China,Financial Services,101541,1.20894E+12,0.163,0.06454
142,601633.SS,Great Wall Motor Company Limited,China,Consumer Cyclical,60297,1.89791E+11,1.415,0.04546
143,601658.SS,"Postal Savings Bank of China Co., Ltd.",China,Financial Services,172978,1.30095E+11,-0.281,0.26005
144,601668.SS,China State Construction Engineering Corporation Limited,China,Industrials,335038,7.45934E+11,0.071,0.02831
145,601669.SS,"Power Construction Corporation of China, Ltd",China,Industrials,132583,4.29925E+11,0.101,0.01984
146,601688.SS,"Huatai Securities Co., Ltd.",China,Financial Services,10147,82202263552,1.753,0.39651
147,601698.SS,"China Satellite Communications Co., Ltd.",China,Communication Services,540,76067487744,-0.07,0.15995
148,601727.SS,Shanghai Electric Group Company Limited,China,Industrials,33720,1.05798E+11,0.299,0.02486
149,601766.SS,CRRC Corporation Limited,China,Industrials,165715,1.68376E+11,-0.019,0.04817
150,601788.SS,Everbright Securities Company Limited,Hong Kong,Financial Services,8913,82761170944,2.592,0.1097
151,601800.SS,China Communications Construction Company Limited,China,Industrials,124457,5.04967E+11,-0.405,0.029660001
152,601808.SS,China Oilfield Services Limited,China,Energy,14725,75960680448,-0.39,0.10539
153,601816.SS,"Beijing-Shanghai High-Speed Railway Co.,Ltd.",China,Industrials,37,3.87443E+11,-0.93,0.27206
154,601818.SS,China Everbright Bank Company Limited,China,Financial Services,46104,6.32133E+11,-0.297,0.4278
155,601828.SS,Red Star Macalline Group Corporation Ltd.,China,Real Estate,25361,83953065984,-0.491,0.19511999
156,601838.SS,"Bank of Chengdu Co., Ltd.",China,Financial Services,5927,28084926464,0.082,0.57448
157,601857.SS,PetroChina Company Limited,China,Energy,450337,1.48819E+12,,-0.00566
158,601877.SS,"Zhejiang Chint Electrics Co., Ltd.",China,Industrials,,82160074752,0.182,0.124589995
159,601878.SS,"Zheshang Securities Co., Ltd.",China,Financial Services,3367,32791939072,0.611,0.15348
160,601881.SS,"China Galaxy Securities Co., Ltd.",China,Financial Services,11127,1.08045E+11,0.693,0.29155
161,601888.SS,China Tourism Group Duty Free Corporation Limited,China,Consumer Cyclical,10780,3.84407E+11,0.066,0.05335
162,601898.SS,China Coal Energy Company Limited,China,Energy,42112,1.43521E+11,-0.261,0.03199
